IdPublisher,PublisherName
0,New Line Books
1,Hippocrene Books
2,Ian Allan Ltd
3,Martin E. Segal Theatre Center Publications
4,Seagull Books
5,Meeting Eyes Bindery
6,"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften"
7,Verso
8,Frank O'Hara Foundation
9,Academic Press
10,Algora Publishing
11,Authorhouse
12,Dodo Press
13,Thames and Hudson
14,Harlequin Books
15,Better Homes  Gardens
16,Better Homes and Gardens
17,Better Homes and Gardens Books
18,Thorndike Press
19,Better Homes & Gardens
20,Zondervan
21,Xlibris Corporation
22,Lerner Classroom
23,Enslow Publishers
24,John Hunt Publishing
25,Birlinn Publishers
26,Little Brown and Company
27,Turtleback Books
28,Brill/Rodopi
29,California Department of Education
30,University Press of the Pacific
31,American Hospital Association
32,Weekly Reader Early Learning Library
33,Rosen Publishing Group
34,Wheeler Publishing
35,Red Cygnet Press
36,Ulverscroft
37,Grand Central Publishing
38,Bloomsbury Academic
39,Bloomsbury Publishing PLC
40,Gallimard Education
41,Corona Publishing Co.
42,Simon & Schuster Audio
43,Cosimo Classics
44,Cool Springs Press
45,One World/Ballantine
46,Theytus Books
47,Beltz
48,Groundwood Books
49,Sage Publications Ltd
50,American Chemical Society
51,Cambridge University Press
52,Routledge
53,Soft Skull Press
54,Arrow
55,Century
56,British Museum Press
57,Orchard (NY)
58,Da Capo Lifelong Books
59,Delacorte Books for Young Readers
60,Verbal Images Press
61,DK Children
62,iUniverse
63,HarperCollins Publishers
64,HarperTrophy
65,Sutton Publishing
66,St. Martin's Press
67,Purple Mountain Press
68,Vermont Life Magazine (Montpelier)
69,John Wiley & Sons
70,Prentice Hall
71,Pearson
72,McGraw-Hill Companies
73,Gareth Stevens Publishing
74,Rowman & Littlefield Publishers
75,Son Mountain Press
76,University of Notre Dame Press
77,Avon Books
78,Kessinger Publishing
79,Pilgrim Press
80,Springer
81,Churchill Livingstone
82,Kensington
83,Tantor Media
84,Thomas Nelson Publishers
85,New York University Press
86,Fordham University Press
87,"Oxford University Press, USA"
88,University of Washington Press
89,Manutius Press
90,Cornell University Press
91,March of Dimes Birth Defects Foundation
92,Friends of the Library
93,B. M. Rosenthal
94,Arcadia Publishing
95,Saint Pauls/Alba House
96,University Press of Kentucky
97,Random House Audio
98,CRC Press
99,Brill
100,William Morrow & Company
101,Prison Dharma Press
102,Mysterious Press
103,Zittaw Press
104,Vintage
105,Valancourt Books
106,City Lights Publishers
107,Thomson Learning
108,Presses Universitaires de France - PUF
109,J.-C. Lattès
110,International Publishers
111,KC Publications
112,Editions 84
113,Voyageur Press
114,Norton Creek Press
115,MBI
116,Harper
117,Arena Editions
118,Stackpole Books
119,Librairie L'Atalante
120,Chicago Review Press
121,Vista Publishing
122,Thomas Nelson
123,Handbooks on Healthcare
124,University Park Press
125,R & L Education
126,Teachers College Press
127,Allison & Busby
128,Outskirts Press
129,Relume Dumará
130,Cartwheel
131,Yearling
132,Doubleday UK
133,Chronicle Books
134,Altitude Publishing (Canada)
135,MIT Press (MA)
136,"Yorkshire Publishging, Tulsa, OK"
137,New York: Harper & Row
138,Barzun Press
139,DK Publishing (Dorling Kindersley)
140,Harper Design
141,Pleasant Word
142,HarperAudio
143,Jonathan David Publishers
144,Memory Makers Books
145,Lark Books (NC)
146,Reprint Services Corp
147,Annick Press
148,Sterling
149,Psychology Press
150,Follett
151,Little Brown & Co (T)
152,Booket
153,Echo Library
154,Nation Books
155,Shadow Mountain
156,Pathfinder
157,Leisure Arts
158,Firebird Press
159,Modern Library
160,Lantern Books
161,Picador USA
162,Pantheon
163,Plume
164,Basic Books
165,Harper Perennial
166,Penguin Books
167,Do-Not Press
168,Continuum
169,Back Bay Books
170,Houghton Mifflin Company
171,Viking Adult
172,Houghton Mifflin
173,Norman Pub.
174,Hearst Books
175,Clarion Books
176,Good Books
177,Vantage Press
178,The Jewish Publication Society
179,Mondo Publishing
180,Sweetwater Press
181,Wiley
182,Serpent's Tail
183,John Murray Publishers
184,Published by order of the Ministry of Foreign Affairs by the Govt. Pub. Office
185,Poisoned Pen Press
186,Wadsworth Publishing Company
187,Quarry Books
188,Modern Language Association of America
189,Potter Craft
190,Collins Reference
191,Louisiana State University Press
192,University of Georgia Press
193,Doubleday Books
194,Wesleyan
195,Lexington Books
196,Knopf
197,Lustrum Press
198,Fawcett
199,University Press of Florida
200,Transaction Publishers
201,BiblioLife
202,Dover Publications
203,Editions Du Rocher
204,Kogan Page
205,PublishAmerica
206,Ian Allan Publishing
207,Museum for Early Southern Decorative Arts
208,Almqvist & Wiksell International
209,Oberon Books
210,Osprey Publishing
211,Lorimer
212,Wipf & Stock Publishers
213,How to Books
214,Wrox Press
215,Career Press
216,Management Pocketbooks
217,Allyn & Bacon
218,Research  Education Association
219,"Camden House Publishing (Ontario, CA)"
220,Aspen
221,University of California Press
222,Da Capo Press
223,Severn House Publishers
224,Temple University Press
225,Columbia University Press
226,Wendy Lamb Books
227,Editions du Seuil
228,Dutton Juvenile
229,"Grijalbo Mondadori, S.A"
230,McClelland & Stewart
231,Hal Leonard Publishing Corporation
232,Bedford/St. Martin's
233,Bedford Books
234,Suhrkamp Verlag
235,Delmar Thomson Learning
236,International Code Council
237,McGraw-Hill Education
238,Fitzhenry & Whiteside
239,Gold Eagle
240,Alice James Books
241,Merrill West Publishing
242,Fair Winds Press
243,Paulist Press
244,Ohio University Press
245,Charisma House
